latitude,longitude,price,stars,rating,name,city,country
32.53197832,35.85199328,36,3,3.5,Irbid Plaza,Irbid,jordan
32.53162576,35.85257071,35,"""N/A""",4,Ajnadeen Hotel,Irbid,jordan
32.53158041,35.85189066,21,3,3.6,Sara Crown Hotel,Irbid,jordan
32.41712235,35.80863783,53,"""N/A""",4.1,The North jewel,Irbid,jordan
32.37437558,35.75568612,23,"""N/A""",5,Ajloun Mhna guest house,Ajloun,jordan
32.33043139,35.73417648,19,2,3.2,Ajloun Hotel,Ajloun,jordan
32.29808991,35.85517654,43,2,4,The Olive Branch Hotel,Jerash,jordan
32.29105072,35.88779605,24,"""N/A""",5,Atoom hotel,Jerash,jordan
32.28110672,35.90229962,37,"""N/A""",3.9,1955 Heart of Jerash,Jerash,jordan
32.27421589,35.88985235,69,"""N/A""",4.3,Hadrian's Gate Hotel,Jerash,jordan
32.12938133,35.77014836,126,3,4.2,Mountain Breeze Resort,Balqa,jordan
32.09336296,35.81700025,69,"""N/A""",3.9,Sindyan Resort & Restaurant,Balqa,jordan
32.04262499,35.74501943,28,3,3.6,Saltus Hotel,As-Salt,jordan
32.03971876,35.72567996,49,"""N/A""",4.1,Beit Aziz,As-Salt,jordan
32.05613198,35.92766597,190,"""N/A""",5,Villa Hmoud Al Hajjaj,Amman,jordan
32.04160887,35.90696389,41,"""N/A""",2.7,Lijam,Amman,jordan
32.04155745,35.90635699,30,3,3.8,Margarita Hotel Amman,Amman,jordan
32.04420686,35.90532537,45,"""N/A""",45,Al Asala Hotel Apartments,Amman,jordan
32.04595601,35.89955968,41,"""N/A""",3.4,Lijam Apartments,Amman,jordan
32.05186458,35.88252575,22,"""N/A""",4.4,Al haramain Furnished Apartments,Amman,jordan
32.04908208,35.87501548,26,"""N/A""",3.6,Unification Hotel Apartments,Amman,jordan
